Review,Liked
"O hambúrguer é uma boa carne, cozida na medida certa.",1
Se quiser um sanduíche é só ir em qualquer Corpo de Bombeiros!!!!!,1
"Minha salada grega com molho grego estava muito saborosa, e a pita e o hummus eram muito refrescantes.",1
"Pedimos o pato malpassado e estava rosado e macio por dentro, com um belo carvão por fora.",1
Ele veio correndo atrás de nós quando percebeu que meu marido havia deixado os óculos escuros em cima da mesa.,1
O chow mein deles é tão bom!,1
Eles têm atitudes horríveis em relação aos clientes e falam mal de cada um quando os clientes não gostam de sua comida.,0
A porção era enorme!,1
"Adorei...servidores simpáticos, boa comida, menu maravilhoso e imaginativo.",1
"O Heart Attack Grill, no centro de Las Vegas, é uma desculpa absolutamente simples para um restaurante.",0
Não há muitos frutos do mar e uns 5 fios de macarrão no fundo.,0
"A salada tinha a quantidade certa de molho para não sobrecarregar a vieira, que estava perfeitamente cozida.",1
"A banana rasgada não estava apenas rasgada, mas petrificada e sem gosto.",0
Pelo menos pense em reabastecer minha água antes que eu me esforce para acenar para você por 10 minutos.,0
Este lugar recebe estrelas pelos seus APETIZANTES!,1
Os coquetéis são todos artesanais e deliciosos.,1
Nós definitivamente voltaríamos aqui novamente.,1
Estamos muito felizes por termos encontrado este lugar.,1
"Ótima comida e serviço, porções enormes e dão desconto militar.",1
Sempre um ótimo momento no Dos Gringos!,1
Atualização.....voltei pela segunda vez e ainda era tão incrível,1
Pegamos a comida e aparentemente eles nunca ouviram falar de sal e a massa do peixe estava mastigável.,0
Uma ótima maneira de terminar um ótimo.,1
"O acordo incluiu 5 degustações e 2 bebidas, e Jeff foi além do que esperávamos.",1
"- Arroz muito, muito bom, o tempo todo.",1
O serviço foi meh.,0
"Demorou mais de 30 minutos para conseguir o milk-shake, que nada mais era do que leite com chocolate.",0
"Acho que deveria saber que esse lugar seria uma droga, porque fica dentro da Excalibur, mas não usei meu bom senso.",0
O prato de vieiras também tem um valor terrível.,0
2 vezes - Atendimento ao cliente muito ruim!,0
As batatas fritas estavam muito boas e bem temperadas.,1
Hoje é a segunda vez que vou ao buffet de almoço e foi muito bom.,1
Há tanta comida boa em Las Vegas que me sinto enganado por desperdiçar uma oportunidade de comer indo ao Rice and Company.,0
"Vir aqui é como vivenciar um relacionamento desanimador, onde ambas as partes mal podem esperar que a outra pessoa peça para terminar.",0
entrei e o lugar cheirava a uma velha caixa de gordura e apenas 2 outras pessoas estavam comendo.,0
O peru e o rosbife eram insossos.,0
Este lugar tem isso!,1
Os bolos que todos elogiam têm gosto de um desastre açucarado feito sob medida para o paladar de uma criança de seis anos.,0
"Eu adoro o Pho e os rolinhos primavera, que delícia que você tem que experimentar.",1
A baixa proporção entre massa e carne tornou as propostas de frango muito insatisfatórias.,0
Só tenho a dizer que a comida estava incrível!!!,1
Omeletes são de morrer!,1
Tudo estava fresco e delicioso!,1
"Em resumo, esta foi uma experiência gastronômica bastante decepcionante.",0
"É como uma festa realmente sexy na sua boca, onde você está flertando escandalosamente com a pessoa mais gostosa da festa.",1
"Nunca estive no Hard Rock Casino antes, NUNCA MAIS PASSAREI NELE!",0
Melhor buffet de café da manhã!!!,1
diga adeus à sua gorjeta!,0
Nós nunca iremos novamente.,0
Voltarei novamente!,1
A comida chegou rapidamente!,1
Não foi bom.,0
"Por outro lado, o café deles serve comida muito boa.",1
"Nosso servidor foi fantástico e quando ele descobriu que a esposa adora alho assado e medula óssea, ele acrescentou mais à nossa refeição e outra medula para viagem!",1
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1
"O melhor buffet da cidade, pelo preço imbatível.",1
"ADOREI os mexilhões cozidos nesta redução de vinho, o pato estava macio e os pratos de batata estavam deliciosos.",1
Este é um dos melhores buffets que já estive.,1
Então fomos para Tigerlilly e tivemos uma tarde fantástica!,1
"A comida estava deliciosa, nosso barman foi atencioso e gentil E conseguimos um ótimo negócio!",1
O ambiente é maravilhoso e há música tocando.,1
Voltarei na próxima viagem.,1
Muuuito bom!!,1
"Amantes de sushi REAIS, vamos ser honestos - Yama não é tão bom assim.",0
"Pelo menos 40 minutos se passaram entre o pedido e a chegada da comida, e não estava tão ocupado.",0
Este é um restaurante tailandês realmente fantástico que definitivamente vale a pena uma visita.,1
"Agradável, picante e macio.",1
Bons preços.,1
Confira.,1
Foi muito nojento!,0
Eu tive uma atmosfera melhor.,0
"É meio difícil bagunçar um bife, mas eles conseguiram.",0
"Embora eu tenha gostado muito da aparência e do som deste lugar, a experiência real foi um pouco decepcionante.",0
Só não sei como esse lugar conseguiu servir a comida mais branda que já comi quando preparam culinária indiana.,0
"Pior serviço para começar, mas essa é a menor das suas preocupações.",0
O serviço foi bom e a garçonete foi amigável.,1
"Todos os caras comeram bifes, e nosso filho que adora bife, que já comeu bife nos melhores e piores lugares, disse que era o melhor bife que ele já comeu.",1
"Achamos que você teria que se aventurar mais longe para conseguir um bom sushi, mas esse lugar realmente acertou em cheio naquela noite.",1
"A equipe anfitriã era, por falta de palavra melhor, CADELAS!",0
Sem graça. Não gosto deste lugar por uma série de razões e não quero perder tempo com críticas negativas.,0
"Comida, serviço e ambiente fenomenais.",1
Eu não voltaria.,0
"Definitivamente vale a pena se aventurar pela barriga de porco, voltarei na próxima vez que estiver em Las Vegas.",1
Este lugar é muito caro para comida medíocre.,0
Vodka Penne excelente!,1
"Eles têm uma boa seleção de comida, incluindo um enorme sanduíche de bolo de carne, um wrap de frango crocante, um delicioso derretimento de atum e alguns hambúrgueres saborosos.",1
A gestão é rude.,0
"Deliciosos bagels de Nova York, boas seleções de cream cheese, verdadeiro Lox com alcaparras até.",1
"Ótimo Subway, na verdade é tão bom quando você vem aqui todos os outros Subway não atendem às suas expectativas.",1
Tomei um café da manhã realmente sólido aqui.,1
Este é um dos melhores bares com comida de Las Vegas.,1
"Ele foi extremamente rude e, realmente, há tantos outros restaurantes que eu adoraria jantar durante um fim de semana em Las Vegas.",0
Minha bebida nunca estava vazia e ele fez ótimas sugestões de menu.,1
Não faça isso!!!!,0
O garçom não foi útil ou amigável e raramente nos verificava.,0
Meu marido e eu almoçamos aqui e ficamos muito decepcionados com a comida e o serviço.,0
E o curry vermelho tinha tantos brotos de bambu e não ficou muito gostoso para mim.,0
"Belo cobertor de moz por cima, mas acho que isso foi feito para encobrir a comida abaixo da média.",1
Os banheiros são limpos e o local em si é bem decorado.,1
"O menu está sempre mudando, a qualidade da comida está diminuindo e o serviço é extremamente lento.",0
"O serviço foi um pouco lento, considerando que eram servidos por servidores de 3 pessoas, então a comida estava chegando em um ritmo lento.",0
Eu dou 2 polegares para baixo,0
Vimos nosso garçom prestar muito mais atenção às outras mesas e nos ignorar.,0
Meu noivo e eu chegamos no meio do dia e fomos recebidos e sentados imediatamente.,1
Este é um ótimo restaurante no Mandalay Bay.,1
Esperamos quarenta e cinco minutos em vão.,0
Crostini que veio com a salada estava velho.,0
Alguns destaques: Nigiri de ótima qualidade aqui!,1
a equipe é simpática e a junta está sempre limpa.,1
"esse foi um corte diferente do pedaço do outro dia, mas ainda maravilhoso, macio e bem saboroso.",1
"Encomendei a massa Voodoo e foi a primeira vez que comi uma massa realmente excelente desde que fiquei sem glúten, há vários anos.",1
este lugar é bom.,1
"Infelizmente, devemos ter ido à padaria no dia da sobra porque tudo o que pedimos estava velho.",0
Voltei hoje desde que eles se mudaram e ainda não fiquei impressionado.,0
Eu estava sentado imediatamente.,1
Seu cardápio é diversificado e com preços razoáveis.,1
Evite a todo custo!,0
"O restaurante está sempre cheio, mas nunca espera.",1
DELICIOSO!!,1
Este lugar é sem dúvida um dos melhores lugares para comer na área metropolitana de Phoenix.,1
Então não vá lá se estiver procurando boa comida.,0
Nunca fui tão mal tratado.,0
Bacon é muito salgado.,1
"Pedimos também a salada de espinafre e abacate, os ingredientes eram tristes e o molho literalmente não tinha gosto.",0
"É assim que costumavam ser os restaurantes finos de Las Vegas, até os cardápios entregues às mulheres que não têm preços listados.",1
As garçonetes são muito simpáticas.,1
"Meu Deus, o Khao Soi é um prato imperdível para os amantes de curry!",1
Tudo no menu é fantástico e também ficamos emocionados por eles terem feito acomodações incríveis para nossa filha vegetariana.,1
"Talvez eu os tenha pegado em uma noite ruim, a julgar pelos outros comentários, mas não estou inspirado para voltar.",0
O serviço aqui deixa muito a desejar.,0
"O ambiente é moderno e descolado, mas mantém um toque de aconchego.",1
"Não é um refúgio semanal, mas definitivamente um lugar para voltar de vez em quando.",1
Nós literalmente ficamos lá por 20 minutos sem ninguém pedir para anotar nosso pedido.,0
"O hambúrguer não tinha absolutamente nenhum sabor - a carne em si era totalmente sem graça, o hambúrguer estava cozido demais e não havia sabor de carvão.",0
Também decidi não devolvê-lo porque nossa garçonete parecia estar prestes a ter um ataque cardíaco.,0
Eu me vesti para ser tratada com tanta grosseria!,0
Provavelmente era sujeira.,0
"Adoro esse lugar, acerta quando quero algo saudável, mas que não falte quantidade ou sabor.",1
Eu pedi o coquetel gelado de limão e framboesa que também foi incrível.,1
"A comida era uma droga, o que esperávamos, mas era mais ruim do que poderíamos imaginar.",0
Decoração interessante.,1
O que eu gosto mesmo é da estação de crepe.,1
Também foram servidos pão quente com manteiga e batatas fritas caseiras com pedaços de bacon por cima.,1
você pode vê-los preparando a comida deliciosa!),1
Ambos os rolos de ovo foram fantásticos.,1
"Quando meu pedido chegou, um dos giroscópios estava faltando.",0
Comi uma salada com asas e um pouco de sorvete de sobremesa e saí bastante satisfeito.,1
Não tenho muita certeza de como o Joey's foi eleito o melhor cachorro-quente do Vale pelos leitores da Phoenix Magazine.,0
O melhor lugar para saborear uma saborosa tigela de Pho!,1
A música ao vivo às sextas-feiras é demais.,0
Nunca fui tão insultado ou me senti desrespeitado.,0
Pessoal muito simpático.,1
Vale a pena dirigir.,1
"Eu tinha ouvido falar coisas boas sobre esse lugar, mas superava todas as esperanças que eu poderia ter sonhado.",1
A comida era ótima e o serviço também!,1
A cerveja quente não ajudou.,0
Ótimo local para brunch.,1
O serviço é amigável e convidativo.,1
Muito bom local para almoço.,1
Moro aqui desde 1979 e esta foi a primeira (e última) vez que pisei neste lugar.,0
A PIOR EXPERIÊNCIA DE SEMPRE.,0
Deve ter sido uma noite ruim neste lugar.,0
"Os lados são deliciosos - cogumelos mistos, purê de ouro yukon, milho branco - beateous.",1
"Se aquele bicho nunca tivesse aparecido eu teria dado 4 com certeza, mas do outro lado da parede onde esse bicho estava subindo ficava a cozinha.",0
"Por cerca de 10 minutos, estávamos esperando pela salada dela quando percebemos que ela não chegaria tão cedo.",0
Meu amigo adorou o tártaro de salmão.,1
Não vou voltar.,0
Extremamente saboroso!,1
Garçonete foi bom!,1
Encharcado e não é bom.,0
Os mojitos jamaicanos são deliciosos.,1
Que são pequenos e não valem o preço.,0
"- a comida é rica, então faça o pedido de acordo.",1
"A área do chuveiro fica do lado de fora então você só pode enxaguar, não tomar um banho completo, a menos que você não se importe de ficar nu para todo mundo ver!",0
O serviço deixou um pouco a desejar.,0
"Bisque de Lagosta, Couve de Bruxelas, Risoto, Filé TODOS precisavam de sal e pimenta.",0
"Esperançosamente, isso é um presságio de que eles fecharão as portas e que alguém que saiba cozinhar possa entrar.",0
"Estava muito frio, sem sabor suficiente ou simplesmente ruim.",0
Adorei as tâmaras embrulhadas em bacon.,1
Esta é uma NEGÓCIO inacreditável!,1
O pessoal da Otto sempre nos faz sentir muito bem-vindos e especiais.,1
"Quanto à “rede elétrica”, também pouco inspirada.",0
Este é o lugar onde eu tomei Pho pela primeira vez e foi incrível!,1
Essa experiência maravilhosa fez deste lugar uma parada obrigatória sempre que estivermos na cidade novamente.,1
"Se a comida não é ruim o suficiente para você, então aproveite para lidar com os piores bêbados/irritantes do mundo.",0
Chef muito divertido.,1
"Pedi um cheeseburger duplo e peguei um único hambúrguer que estava desmoronando (foto enviada) Sim, ainda é uma merda.",0
"Ótimo lugar para tomar algumas bebidas e assistir a todo e qualquer evento esportivo, pois as paredes estão cobertas de TVs.",1
"Se fosse possível dar-lhes zero estrelas, eles teriam.",0
"As descrições diziam ""molho yum yum"" e outra dizia ""molho de enguia"", e outra dizia ""maionese picante"".",0
"Eu diria que essa seria a decisão mais difícil... Honestamente, todos os pratos de M têm o sabor que deveriam ter (incrível).",1
"Se ela não tivesse revirado os olhos, poderíamos ter ficado. Não tenho certeza se voltaremos e tentaremos novamente.",0
"Todos são muito atenciosos, proporcionando um excelente atendimento ao cliente.",1
Horrível - não perca seu tempo e dinheiro.,0
Agora este prato era bastante saboroso.,1
"A essa altura, nosso lado do restaurante estava quase vazio, então não havia desculpa.",0
"(Também não estava ocupado) Além disso, o prédio estava muito frio.",0
"como o outro usuário disse: ""você não poderia me pagar para comer neste lugar novamente.""",0
- As bebidas demoravam cerca de 30 minutos para sair em determinado momento.,0
"Delícias realmente saborosas, pessoal.",1
Muito melhor do que o outro restaurante de sushi AYCE que visitei em Las Vegas.,1
A iluminação é escura o suficiente para definir o clima.,1
"Com base no serviço abaixo da média que recebi e nenhum esforço para mostrar sua gratidão pelo meu negócio, não voltarei.",0
Os proprietários são pessoas realmente ótimas.,1
Não há nada de privilegiado em trabalhar/comer lá.,0
O molho grego era muito cremoso e saboroso.,1
"No geral, não acho que levaria meus pais a esse lugar novamente, porque eles fizeram a maioria das reclamações semelhantes que eu também senti silenciosamente.",0
Agora a pizza em si estava boa e o molho de amendoim estava muito saboroso.,1
Tivemos 7 na nossa mesa e o serviço foi bastante rápido.,1
Serviço fantástico aqui.,1
"Eu também teria dado zero estrelas aos padrinhos, se possível.",0
Eles sabem como fazê-los aqui.,1
muito duro e com muito pouco sabor!,0
Espero que este lugar permaneça por aqui.,1
Já estive em mais de alguns bares em Las Vegas e não me lembro de ter sido cobrado pela água da torneira.,0
A atmosfera do restaurante era requintada.,1
"Bom serviço, muito limpo e barato, para arrancar!",1
Os frutos do mar eram frescos e generosos em porção.,1
"Além disso, são apenas 8 dólares.",1
O serviço também não estava à altura.,0
"Até agora, visitei apenas duas vezes e a comida estava absolutamente deliciosa todas as vezes.",1
"Tão bom quanto quando o tive, há mais de um ano!",1
"Para um café autoproclamado, fiquei extremamente desapontado.",0
O prato vegetariano está fora deste mundo!,1
Você não pode errar com nenhuma comida aqui.,1
Você não pode vencer isso.,1
"Parado por este lugar enquanto estava em Madison para o Ironman, funcionários muito simpáticos e gentis.",1
Os chefs foram simpáticos e fizeram um bom trabalho.,1
"Já tive melhores, não apenas com locais dedicados ao chá boba, mas até mesmo com Jenni Pho.",0
Gostei do pátio e o serviço foi excelente.,1
"O taco de cabra não economizou na carne e nossa, que SABOR!",1
acho que não de novo,0
"Eu comi a salada de mac e estava bem sem graça, então não vou conseguir isso de novo.",0
Fui ao Bachi Burger por recomendação de um amigo e não fiquei desiludido.,1
O serviço fede aqui!,0
Eu esperei e esperei.,0
"Este lugar não é sushi de qualidade, não é um restaurante de qualidade.",0
"Eu recomendaria definitivamente as asas, bem como a pizza.",1
Ótima pizza e saladas!,1
Coisas que deram errado: - Queimaram o saganaki.,0
Esperamos uma hora pelo que era um café da manhã que eu poderia ter feito 100 vezes melhor em casa.,0
Este lugar é incrível!,1
"Detesto discordar dos meus colegas Yelpers, mas meu marido e eu ficamos muito decepcionados com este lugar.",0
"Esperamos 2 horas e nunca recebemos nenhuma de nossas pizzas, como muitos outros ao nosso redor que chegaram mais tarde!",0
Só não sei por que eles eram tão lentos.,0
"A equipe é ótima, a comida é deliciosa e eles têm uma seleção incrível de cervejas.",1
"Eu moro no bairro, então estou desapontado por não voltar aqui, porque é uma localização conveniente.",0
Eu não sabia que carne de porco desfiada poderia ser tão deliciosa.,1
"Você obtém peixe incrivelmente fresco, preparado com cuidado.",1
"Antes de explicar por que dei uma classificação de 1 estrela, saiba que esta foi a terceira vez que comi no hambúrguer Bachi antes de escrever um comentário.",0
Adoro o fato de que tudo no cardápio vale a pena.,1
Nunca mais jantarei neste lugar!,0
A comida era excelente e o serviço muito bom.,1
Boa seleção de cervejas e bebidas e boa seleção de comida.,1
"Por favor, fique longe do macarrão frito com camarão.",0
O pedido das batatas fritas foi triste. Eu provavelmente poderia contar quantas batatas fritas havia naquela caixa e provavelmente eram cerca de 12.,0
A comida era muito chata.,0
Bom serviço-verificação!,1
Esta corporação gananciosa NUNCA verá mais um centavo meu!,0
"Nunca, jamais voltarei.",0
"Por mais que eu queira voltar, não consigo passar pelo serviço atroz e nunca mais voltarei.",0
"No verão, você pode jantar em um charmoso pátio ao ar livre - muito agradável.",1
Eu não esperava que isso fosse tão bom!,1
Comida fantástica!,1
Ela pediu um muffin inglês torrado que saiu torrado.,0
A comida era muito boa.,1
Nunca mais voltarei.,0
"Ótima comida pelo preço, de altíssima qualidade e feita em casa.",1
"O garoto do ônibus, por outro lado, foi muito rude.",0
"A essa altura, meus amigos e eu tínhamos basicamente descoberto que esse lugar era uma piada e não nos importamos em torná-lo público e em voz alta.",0
"De volta ao bom churrasco, comida mais leve, preços razoáveis ​​e dizer ao público que eles estão de volta aos velhos tempos.",1
"E considerando que nós dois saímos de lá muito satisfeitos e felizes por cerca de US$ 20, você simplesmente não pode errar.",1
Todo o pão é feito em casa!,1
A única desvantagem é o serviço.,0
"Além disso, as batatas fritas são sem dúvida as piores que já comi.",0
"O serviço foi excepcional e a comida era boa, como todos os comentários.",1
"Alguns meses depois, voltei e tive uma refeição incrível.",1
Lugar favorito na cidade para shawarrrrrrma!!!!!!,1
O feijão-fradinho e a batata doce... UNREAL!,1
Você não ficará desapontado.,1
"Eles poderiam servir apenas com o vinagrete e poderia dar um prato geral melhor, mas ainda assim estava muito bom.",1
"Vou a muitos lugares e nunca vi nenhum restaurante que sirva café da manhã com 1 ovo, principalmente por US$ 4,00.",0
"Quando minha mãe e eu chegamos em casa, ela imediatamente ficou doente e só comeu alguns pedaços de salada.",0
Os servidores não são agradáveis ​​de lidar e nem sempre honram os cupons da Pizza Hut.,0
"Ambos foram realmente incrivelmente bons, e estou muito feliz por termos voltado.",1
Tivemos um serviço fantástico e ficamos satisfeitos com a atmosfera.,1
Tudo era nojento.,0
Eu amo esse lugar.,1
Ótimo serviço e comida.,1
Primeiro - os banheiros neste local estavam sujos - as capas dos assentos não foram reabastecidas e simplesmente nojentas!,0
"O hambúrguer... Comprei o ""Gold Standard"", um hambúrguer de US$ 17 e fiquei meio decepcionado.",0
"OMG, the food was delicioso!",1
Não há nada de autêntico neste lugar.,0
o espaguete não é nada de especial.,0
"De todos os pratos, o salmão foi o melhor, mas todos estavam ótimos.",1
Os vegetais são tão frescos e o molho parece autêntico tailandês.,1
Vale a pena dirigir de Tucson!,1
A seleção foi provavelmente a pior que já vi em Las Vegas.,0
Muito boa seleção de cerveja também.,1
"Este lugar é como Chipotle, mas MELHOR.",1
"Ambiente elegante/acolhedor, aperitivos divertidos e frescos, bifes suculentos (bife de beisebol !!!!!",1
5 estrelas para o aplicativo de pão em forno de tijolos!,1
Já comi aqui várias vezes e todas as vezes a comida estava deliciosa.,1
Ficamos sentados por mais dez minutos e finalmente desistimos e saímos.,0
Ele era terrível!,0
Todos são tratados de forma igualmente especial.,1
Não deve demorar 30 minutos para panquecas e ovos.,0
Estava uma delícia!!!,1
"Do lado bom, a equipe foi genuinamente agradável e entusiasmada - um verdadeiro deleite.",1
"Infelizmente, o Gordon Ramsey's Steak é um lugar que devemos evitar durante nossa próxima viagem a Las Vegas.",0
Como sempre a noite foi maravilhosa e a comida deliciosa!,1
Melhor peixe que já comi na vida!,1
(O banheiro fica ao lado e é muito agradável.),1
O buffet é pequeno e toda a comida que eles ofereceram era BLAND.,0
Este é um pequeno restaurante excepcional com algumas das melhores comidas que já provei.,1
"Muito legal, eu diria.",1
"Definitivamente, isso é desagradável para mim e duvido que voltarei, a menos que alguém esteja comprando.",0
O servidor fez um ótimo trabalho ao lidar com nossa grande mesa barulhenta.,1
"Acho que desperdiçar comida é desprezível, mas isso simplesmente não era comida.",0
Minha esposa teve a sopa de lagosta Bisque que estava morna.,0
Voltaria novamente se eu tivesse um desejo de sushi enquanto estivesse em Las Vegas.,1
"A equipe é ótima, o ambiente é ótimo.",1
Ele merece 5 estrelas.,1
Saí com dor de estômago e me senti mal o resto do dia.,0
Deixaram cair mais do que a bola.,0
"O espaço de jantar é pequeno, mas elegantemente decorado e confortável.",1
"Eles vão personalizar o seu pedido do jeito que você quiser, meu habitual é Berinjela com Feijão Verde refogado, adorei!",1
"E o feijão e o arroz eram, na melhor das hipóteses, medíocres.",0
"Melhores tacos da cidade, de longe!",1
Peguei meu dinheiro de volta e saí de lá.,0
"Em uma parte interessante da cidade, esse lugar é incrível.",1
GESTÃO RUDE E INCONSIDERADA.,0
"Os funcionários agora não são tão amigáveis, os tempos de espera para serem atendidos são horríveis, ninguém diz oi nos primeiros 10 minutos.",0
Eu não voltarei.,0
Eles têm ótimos jantares.,1
O serviço foi ofuscante e eu definitivamente recomendo o alabote.,1
A comida era terrível.,0
NUNCA MAIS VOLTAREI E CONTEI A MUITAS PESSOAS O QUE ACONTECEU.,0
"Eu não recomendo, a menos que seu carro quebre na frente dele e você esteja morrendo de fome.",0
Voltarei aqui sempre que estiver em Las Vegas.,1
Este lugar merece uma estrela e 90% tem a ver com a comida.,0
Isso é uma vergonha.,0
Definitivamente voltando para jogar na próxima vez,1
"Se você quer comida saudável, autêntica ou ética, experimente este lugar.",1
Continuarei vindo aqui na noite das mulheres e na noite do encontro. Recomendo vivamente este lugar para quem está na área.,1
Já estive aqui várias vezes e a experiência sempre foi ótima.,1
Saímos empanturrados e felizes com nossa primeira experiência de buffet em Las Vegas.,1
"O serviço foi excelente e os preços são bastante razoáveis, considerando que se trata de Las Vegas e está localizado dentro do shopping Crystals by Aria.",1
"Resumindo... a comida era incrível, ou melhor, transcendente... mas nada me traz mais alegria do que a lembrança do dispensador pneumático de condimentos.",1
Provavelmente sou uma das poucas pessoas que já foi ao Ians e não gostou.,0
"A pizza infantil também é sempre um sucesso, com muitas opções de acompanhamentos excelentes para os pequenos!",1
O atendimento é perfeito e o ambiente familiar é gostoso de ver.,1
Preparado com perfeição e o serviço impecável.,1
Este é simplesmente uma decepção.,0
"No geral, fiquei muito decepcionado com a qualidade da comida no Bouchon.",0
Não preciso ser contador para saber que estou me ferrando!,0
"Ótimo lugar para comer, me lembra as pequenas lojas familiares da área da baía de São Francisco.",1
Hoje foi a primeira vez que experimentei um Cachorro Quente Buldogis Gourmet e devo dizer que foi mais do que jamais imaginei ser possível.,1
Saiu muito frustrado.,0
Com certeza voltarei em breve.,1
A comida era muito boa e fiquei completamente mesquinho rapidamente.,1
O serviço foi fantástico.,1
PERDA TOTAL DE TEMPO.,0
"Não sei que tipo é, mas eles têm o melhor chá gelado.",1
"Venha com fome, saia feliz e empanturrado!",1
"Pelo serviço, não lhes dou estrelas.",0
Posso garantir que você não ficará desapontado.,1
"Posso aceitar um pouco de serviço ruim, mas a comida é uma merda.",0
Desisti de tentar comer alguma parte da crosta (os dentes ainda doem).,0
Mas agora eu estava completamente enojado.,0
Eu realmente gostei de comer aqui.,1
"Primeira vez que vou, mas acho que rapidamente me tornarei um cliente regular.",1
"Nosso servidor foi muito simpático e, embora parecesse um pouco sobrecarregado com todas as nossas necessidades, ele permaneceu profissional e amigável até o fim.",1
"Pelo que meus companheiros de jantar me disseram, tudo estava muito fresco, com textura e sabor agradáveis.",1
"No chão, bem ao lado da nossa mesa, havia uma grande pilha de cocô de pássaro verde, manchado, pisado e rastreado por toda parte.",0
"Além disso, você nem encontra o horário de funcionamento no site!",0
"Tentamos gostar deste lugar, mas depois de mais de 10 vezes acho que terminamos com eles.",0
Que erro foi esse!,0
Sem queixas!,1
Esta é uma pizza muito boa e sou um especialista/conhecedor no assunto.,1
Garçom era um idiota.,0
"Strike 2, que quer ser apressado.",0
Estes são os donos de restaurantes mais legais que já conheci.,1
Eu nunca mais venho.,0
Adoramos os biscoitos!!!,1
O serviço é rápido e amigável.,1
Pedi um aperitivo e demorou 40 minutos e depois a pizza mais 10 minutos.,0
Tão absolutamente fantástico.,1
"Era um enorme e estranho pedaço de vaca de 1,5 kg que tinha 3/4 de cartilagem e gordura.",0
definitivamente voltarei aqui novamente.,1
Gosto do Steiners porque é escuro e parece um bar.,1
"Uau, muito picante, mas delicioso.",1
"Se você não conhece, dê uma olhada.",1
Vou levar o dinheiro do meu jantar de negócios para outro lugar.,0
Eu adoraria voltar.,1
"De qualquer forma, este restaurante FS tem um café da manhã/almoço maravilhoso.",1
Nada de especial.,0
Cada dia da semana tem uma oferta diferente e é tudo uma delícia!,1
"Sem falar que a combinação de peras, amêndoas e bacon é uma grande vencedora!",1
Não voltarei.,0
Molho estava sem gosto.,0
"A comida é deliciosa e apimentada o suficiente, então não deixe de pedir mais picante se preferir assim.",1
Meu bife de lombo estava cozido perfeitamente e tinha um excelente sabor de algaroba.,1
Acho que não voltaremos tão cedo.,0
A comida era tão boa.,1
"Estou longe de ser um conhecedor de sushi, mas posso definitivamente dizer a diferença entre comida boa e comida ruim e esta certamente era comida ruim.",0
Fiquei tão insultado.,0
As últimas 3 vezes que almocei aqui foram ruins.,0
As asas de frango continham a carne de frango mais seca que já comi.,0
"A comida era muito boa e eu gostei de cada garfada, um local agradável e descontraído para casais, pequenos grupos familiares, etc.",1
